id,name,type,level,year,floors,elevator,elevator_goods,building_area,property_fee,park_fee,park_overground,park_underground,floor_area,floor_height,pure_height,hall_height,if_foreign,if_register,latitude,longitude,store_nearby,mall_nearby,park_nearby,hotel_nearby,metro_nearby,rent,rent_haozu,rent_BC_haozu
606,绿地商务大厦,4,3,13,23,6,2,46356,20,1200,15,426,1260,4,2.8,9,1,1,31.2262,121.432,24,4,24,12,2,4.66,5.8,6.92
625,阿里中心,4,3,2,9,4,0,141499,32,0,0,0,0,2.85,0,0,1,1,31.1924,121.334,1,0,0,0,0,4.46,5.93,6.16
688,现代广场,5,3,13,27,3,1,54100,20,800,22,300,794,3.6,3.2,5,1,1,31.212,121.403,14,1,14,11,0,3.75,4.5,7.31
736,中环广场,5,3,20,38,10,2,54600,34,200,0,200,1200,3,2.8,5,1,1,31.2283,121.479,23,6,23,16,1,8.1,11.5,9.28
741,半岛科技园,4,2,12,6,1,1,38000,12,750,90,300,400,3.7,3,3.9,1,1,31.1995,121.592,1,0,1,5,0,4.06,4.7,4.68
758,招商局上海中心,4,3,3,11,0,0,0,35,0,0,0,0,0,0,0,1,1,31.1878,121.492,0,0,0,0,0,5.98,7.6,7.27
761,绿地汇方广场,4,3,2,6,0,0,0,5,0,0,0,0,0,0,0,1,1,31.2677,121.545,42,3,42,12,0,4.36,4.92,4.64
775,碧海现代苑,4,2,11,18,3,1,63211,2.9,250,200,300,560,2.8,2.8,5,0,1,31.2581,121.608,8,1,8,9,1,2.02,2.4,7.29
781,海宏科创,5,2,5,6,0,0,0,6,0,0,0,0,0,0,0,1,1,31.0944,121.524,2,0,2,1,0,1.62,2,2.23
788,东方希望大厦,4,3,12,12,4,1,26000,30,1250,25,120,1600,3.3,2.8,8,1,1,31.2298,121.544,4,0,4,2,0,6.29,7.44,11.33
790,绿地科创大厦,4,3,17,28,6,1,58750,8,700,300,245,1193,3.6,2.6,5,1,1,31.2411,121.427,23,2,23,8,4,3.85,5.4,5.16
831,长泰国际金融大厦,4,3,11,26,6,2,47690,30,1350,30,270,1165,4,2.7,8,1,1,31.231,121.542,10,0,10,5,1,8.11,9.65,11.33
845,财瑞大厦,4,2,13,12,4,1,14123,32,1200,71,74,1250,3.8,2.8,7,1,1,31.2114,121.44,14,1,14,19,2,6.08,7.65,7.31
849,金融广场,5,3,20,29,7,1,42603,29,200,10,105,1142,3.5,2.5,8.5,1,1,31.2417,121.49,73,20,73,96,1,6.6,7.43,7.28
891,新海商务大厦,4,3,16,29,4,1,6000,15,800,300,14,850,4.3,2.3,6,1,1,31.3334,121.521,0,1,0,1,0,2.03,2,3.46
893,富容大厦,4,2,22,25,1,1,30076,1.9,600,30,10,0,3,3,3,0,1,31.2465,121.454,28,4,28,27,1,4.56,5.1,8.86
911,金桃大厦,4,2,15,12,2,1,12000,9,300,20,100,1000,3,2.5,4,0,1,31.2439,121.544,7,0,7,8,0,3.24,3.5,8.67
925,李子园大厦,4,3,11,18,3,1,75000,12,400,50,100,770,3,2.5,4,0,1,31.2731,121.396,9,0,9,3,2,3.04,3.5,4.38
947,怡富商务广场,4,3,12,26,4,1,56163,15,1000,50,400,780,3.3,2.6,4,0,1,31.2966,121.526,16,8,16,17,0,3.04,3.5,24.11
957,融汇958创意园,4,3,-1,0,2,0,0,9,0,0,0,0,0,0,0,1,1,31.2395,121.561,7,1,7,1,1,4.31,5.5,8.67
977,汇智园满星空间,5,3,2,8,0,0,50000,20,0,0,0,0,6.5,0,0,1,1,31.3048,121.462,4,0,4,1,0,3.04,4.53,4.33
980,1788国际中心,5,3,8,35,15,2,110000,28,2500,0,456,3080,4,2.8,10,1,1,31.2289,121.45,29,7,29,25,1,8.62,11.06,8.86
983,新理想大厦,4,3,-1,20,0,0,20456,30,0,0,0,0,0,0,0,1,1,31.2583,121.465,42,3,42,33,1,6.08,6.35,5.92
993,嘉汇广场,5,1,22,35,2,1,100000,3,300,80,250,11000,3.8,2.6,5.8,0,0,31.1942,121.45,20,2,20,36,1,4.98,3.35,5.67
1000,江桥万达广场,5,3,8,10,2,2,170000,6,500,100,960,1200,2.9,2.7,5.6,0,1,31.247,121.331,7,4,7,7,1,1.96,127.08,9.86
1037,泰德科技园,3,3,3,11,4,2,33000,12,400,120,80,2000,5,4.8,5,1,1,31.3591,121.44,12,0,12,2,1,2.38,2.49,2.87
1041,中茂世纪财富广场,5,3,5,17,2,1,84358,3.5,150,150,450,1100,4.5,0,9,0,1,31.4227,121.212,1,0,1,2,0,2.03,1.3,1.59
1045,亚都商务楼,4,3,15,14,2,1,18000,9,600,30,100,1088,2.8,2.7,4,0,1,31.195,121.445,23,6,23,33,0,4.06,4.5,5.67
1058,海亮大厦,4,3,7,22,5,1,29000,30,0,50,150,1300,4.2,0,10,1,1,31.2389,121.407,10,1,10,7,0,4.56,5.1,5.04
1095,恒润大厦,4,3,-1,12,4,0,23600,16.5,0,0,0,0,3.5,0,0,1,1,31.1888,121.271,3,0,3,0,0,2.84,2.9,3.28
1117,旺角广场,4,3,13,23,6,1,33000,25,1000,0,130,1300,3.6,2.6,6,1,1,31.2365,121.491,64,11,64,64,1,3.24,4.5,8.53
1145,美联大厦,2,3,21,13,4,0,17892,1.3,300,35,0,3,3,2.9,3.5,0,0,31.2391,121.44,28,2,28,27,1,4.56,4.5,5.61
